BeamNG,x,y,z
sisf1r,0.27464766,-1.016,0.4318
sisf2r,0.2782316,-1.016,0.3302
sisf3r,0.27051762,-1.016,0.11146917
sisf4r,0.194134994,-1.016,0.0368808
sisr1r,0.32509714,-0.6604,0.4318
sisr2r,0.32864552,-0.6604,0.3302
sisr3r,0.3184017,-0.6604,0.0368808
mha1r,0.26159714,-0.5207,0.4318
mha2r,0.26514552,-0.5207,0.3302
mha3r,0.25512014,-0.5207,0.043127676
apf1r,0.237107222,-0.3937,0.5470144
apf2,0.26159714,-0.3937,0.4318
apf3,0.26514552,-0.3937,0.3302
apr1r,0.237689136,-0.06604,0.5470144
apr2r,0.26148284,-0.06604,0.43507406
apr3r,0.26514552,-0.06604,0.3302
rbhb1,0.26200862,-0.02794,0.4200144
rbhb2,0.26514552,-0.02794,0.3302
rbh1,0.26200862,0.2032,0.4200144
rbh2,0.26514552,0.2032,0.3302
rbh3,0.25710896,0.2032,0.100099876
fbh1r,0.144756378,-2.1544788,0.52572666
fbh2r,0.18826353,-2.1544788,0.4680077
fbh3r,0.19309461,-2.1544788,0.3302
fbh4r,0.185731404,-2.1544788,0.120162574
fbh5r,0.15324963,-2.1544788,0.0876808
fhb1r,0.182687214,-1.5113,0.5470144
fhb2r,0.242226084,-1.5113,0.46800262
fhb3r,0.247038368,-1.5113,0.3302
fhb4r,0.240844324,-1.5113,0.152830276
fhb5r,0.175695102,-1.5113,0.0876808
fh1r,0.095866712,-1.23825,0.6622288
fh2r,0.242226084,-1.23825,0.46800262
fh3r,0.247495822,-1.23825,0.3302
fh4r,0.241112548,-1.23825,0.14740636
fh5r,0.178324256,-1.23825,0.0876808
